lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,15.095,0.535,50.71,1.86
40.82,29.32,15.095,0.535,50.71,1.86
40.84,29.29,15.095,0.535,50.71,1.86
40.84,29.32,15.095,0.535,50.71,1.86
40.84,29.35,15.095,0.535,50.71,1.86
40.86,29.26,15.095,0.535,50.71,1.86
40.86,29.29,15.095,0.535,50.71,1.86
40.86,29.32,15.095,0.535,50.71,1.86
40.86,29.35,15.095,0.535,50.71,1.86
40.88,29.2,15.095,0.535,50.71,1.86
40.88,29.23,15.095,0.535,50.71,1.86
40.88,29.26,15.095,0.535,50.71,1.86
40.88,29.29,15.095,0.535,50.71,1.86
40.88,29.32,15.095,0.535,50.71,1.86
40.88,29.35,15.095,0.535,50.71,1.86
40.88,29.38,15.095,0.535,50.71,1.86
40.88,29.41,15.095,0.535,50.71,1.86
40.9,29.14,15.095,0.535,50.71,1.86
40.9,29.17,15.095,0.535,50.71,1.86
40.9,29.2,15.095,0.535,50.71,1.86
40.9,29.23,15.095,0.535,50.71,1.86
40.9,29.26,15.095,0.535,50.71,1.86
40.9,29.29,15.095,0.535,50.71,1.86
40.9,29.32,15.095,0.535,50.71,1.86
40.9,29.35,15.095,0.535,50.71,1.86
40.9,29.38,15.095,0.535,50.71,1.86
40.9,29.41,15.095,0.535,50.71,1.86
40.92,29.14,15.095,0.535,50.71,1.86
40.92,29.17,15.095,0.535,50.71,1.86
40.92,29.2,15.095,0.535,50.71,1.86
40.92,29.23,15.095,0.535,50.71,1.86
40.92,29.26,15.095,0.535,50.71,1.86
40.92,29.29,15.095,0.535,50.71,1.86
40.92,29.32,15.095,0.535,50.71,1.86
40.92,29.35,15.095,0.535,50.71,1.86
40.92,29.38,15.095,0.535,50.71,1.86
40.92,29.41,15.095,0.535,50.71,1.86
40.94,29.11,15.095,0.535,50.71,1.86
40.94,29.14,15.095,0.535,50.71,1.86
40.94,29.17,15.095,0.535,50.71,1.86
40.94,29.2,15.095,0.535,50.71,1.86
40.94,29.23,15.095,0.535,50.71,1.86
40.94,29.26,15.095,0.535,50.71,1.86
40.94,29.29,15.095,0.535,50.71,1.86
40.94,29.32,15.095,0.535,50.71,1.86
40.94,29.35,15.095,0.535,50.71,1.86
40.94,29.38,15.095,0.535,50.71,1.86
40.94,29.41,15.095,0.535,50.71,1.86
40.96,28.63,15.375,0.5475,59.3,1.6425
40.96,28.81,15.375,0.5475,59.3,1.6425
40.96,28.84,15.375,0.5475,59.3,1.6425
40.96,29.08,15.095,0.535,50.71,1.86
40.96,29.11,15.095,0.535,50.71,1.86
40.96,29.14,15.095,0.535,50.71,1.86
40.96,29.17,15.095,0.535,50.71,1.86
40.96,29.2,15.095,0.535,50.71,1.86
40.96,29.23,15.095,0.535,50.71,1.86
40.96,29.26,15.095,0.535,50.71,1.86
40.96,29.29,15.095,0.535,50.71,1.86
40.96,29.32,15.095,0.535,50.71,1.86
40.96,29.35,15.095,0.535,50.71,1.86
40.96,29.38,15.095,0.535,50.71,1.86
40.96,29.41,15.095,0.535,50.71,1.86
40.96,29.44,15.095,0.535,50.71,1.86
40.96,29.47,15.095,0.535,50.71,1.86
40.98,28.6,15.375,0.5475,59.3,1.6425
40.98,28.63,15.375,0.5475,59.3,1.6425
40.98,28.66,15.375,0.5475,59.3,1.6425
40.98,28.69,15.375,0.5475,59.3,1.6425
40.98,28.72,15.375,0.5475,59.3,1.6425
40.98,28.75,15.375,0.5475,59.3,1.6425
40.98,28.78,15.375,0.5475,59.3,1.6425
40.98,28.81,15.375,0.5475,59.3,1.6425
40.98,28.84,15.375,0.5475,59.3,1.6425
40.98,28.87,15.375,0.5475,59.3,1.6425
40.98,28.9,15.375,0.5475,59.3,1.6425
40.98,29.02,15.095,0.535,50.71,1.6425
40.98,29.05,15.095,0.535,50.71,1.6425
40.98,29.08,15.095,0.535,50.71,1.86
40.98,29.11,15.095,0.535,50.71,1.86
40.98,29.14,15.095,0.535,50.71,1.86
40.98,29.17,15.095,0.535,50.71,1.86
40.98,29.2,15.095,0.535,50.71,1.86
40.98,29.23,15.095,0.535,50.71,1.86
40.98,29.26,15.095,0.535,50.71,1.86
40.98,29.29,15.095,0.535,50.71,1.86
40.98,29.32,15.095,0.535,50.71,1.86
40.98,29.35,15.095,0.535,50.71,1.86
40.98,29.38,15.095,0.535,50.71,1.86
40.98,29.41,15.095,0.535,50.71,1.86
40.98,29.44,15.095,0.535,50.71,1.86
40.98,29.47,15.095,0.535,50.71,1.86
40.98,29.62,15.095,0.535,50.71,1.86
40.98,29.65,15.095,0.535,50.71,1.86
40.98,29.68,15.095,0.535,50.71,1.86
41.0,28.51,14.54,0.5225,54.92,1.6425
41.0,28.54,14.54,0.5225,54.92,1.6425
41.0,28.6,14.54,0.5225,54.92,1.6425
41.0,28.63,14.54,0.5225,54.92,1.6425
41.0,28.66,14.54,0.5225,54.92,1.6425
